county,crimerate,prbarr,prbconv,prbpris,avgsen,polpc,density,taxpc,west,central,urban,pctmin80,wcon,wtuc,wtrd,wfir,wser,wmfg,wfed,wsta,wloc,mix,pctymle,crmrtelag
21,.0413296,.258131,.272985,.469854,9.880000000000001,.0019133,2.555387,45.85272,1,0,1,9.62444,262.6341,421.6649,217.641,315.973,283.1928,344.25,460.94,341.47,241.35,.0888499,.0767823,.038439501
23,.0293095,.287442,.294498,.472527,5.66,.0014041,1.501984,20.91201,1,0,0,7.93198,240.9932,363.7448,197.8607,315.8677,282.3159,303.81,458.86,319.61,276.75,.0947047,.0887623,.027550001
25,.0305075,.282043,.453287,.544529,6.85,.0016077,2.532967,29.41294,0,1,0,15.0998,282.1906,373.2474,204.2759,326.7459,283.324,287.64,464.94,359.48,309.97,.0718271,.0794865,.029444
27,.0355283,.221862,.357664,.5051020000000001,10.31,.001424,1.492569,25.13492,1,0,0,6.45795,253.3263,394.5227,205.1357,279.4619,256.4711,268.48,441.35,245.93,273.59,.1176471,.087978,.0300368
33,.0153797,.21791,.130137,.484211,6.87,.0007805,.5233645,26.73789,0,1,0,43.9169,184.9112,258.3238,179.3915,339.3665,190.9438,268.36,341.6,347.11,252.12,.1166667,.0851962,.0141497
35,.0455489,.260844,.299924,.450633,8.76,.0017862,2.84596,31.64337,0,1,0,10.0838,296.4233,432.6329,247.0921,316.9907,277.5946,305.48,522.42,314.38,276.38,.1564361,.0820833,.040470801
37,.0207011,.371547,.356877,.53125,6.53,.0012295,.5,28.96895,0,1,0,27.8079,249.6813,366.8763,204.1658,262.7807,198.866,264.78,429.01,334.46,282.73,.171521,.0770427,.019614501
39,.0130587,.286822,.783784,.258621,9.44,.0011135,.4469027,23.38863,1,0,0,3.94549,225.8418,397.878,166.6872,259.2913,222.2652,257.85,270.12,263.75,231.88,.1365639,.0712311,.0142249
41,.0125242,.549383,.651685,.5,4.69,.0016235,.7252747,31.85906,0,0,0,42.6421,223.9199,329.6703,199.4078,226.2443,208.0373,295.82,438.81,335.9,265.83,.08,.0680608,.015893901
45,.03854,.215789,.321377,.53125,9.039999999999999,.0011813,1.84188,26.95903,0,1,0,21.7499,260.8386,361.6796,224.4259,273.0827,275.7024,316.28,440.14,319.85,286.45,.091954,.0835231,.0376378
47,.0293452,.235624,.625,.385714,6.6,.0020167,.5554371,29.40129,0,0,0,33.4032,325.8996,314.5219,174.3941,343.0532,206.7213,355.71,395.27,259.22,280.85,.1272727,.0781424,.0296451
49,.030183,.322888,.398031,.392226,9.800000000000001,.0015352,1.132668,27.05969,0,0,0,29.9072,272.1943,352.7878,194.6482,282.3409,296.5243,308.93,453.12,245.36,259.39,.1032064,.1261602,.031902399
51,.0712392,.171519,.308015,.413636,9.5,.0016594,3.888889,31.27144,0,0,1,37.7792,248.2457,357.412,198.3625,297.1186,241.9481,398.06,403.96,330.91,292.63,.0966489,.147533,.059176199
53,.0170847,.159091,.105714,.378378,5.97,.0008542,.5039063,39.17915,0,0,0,17.9096,238.2573,192.3077,187.2367,262.2378,226.2443,184.33,329.83,331.52,247.14,.0377358,.0890676,.0138866
55,.0635231,.202885,.241706,.490196,8.17,.0036037,.4424552,85.93001,0,0,0,6.49622,265.1632,387.7809,152.1637,225.5074,181.6435,265.83,323.96,335.63,241.74,.0982049,.0811983,.0504352
57,.0259898,.303672,.48366,.326577,7.41,.0013412,2.164234,27.02995,0,1,0,10.9957,277.5833,389.0533,215.645,297.2259,232.1913,294.36,477,284.73,280.82,.0674435,.0828959,.0258322
59,.015924,.231651,.122514,.241935,11.69,.0008765,1.037453,30.28687,0,1,0,10.8704,265.0177,290.746,214.2559,262.7807,264.038,292.93,416.47,317.99,267.99,.0712531,.0803874,.0160226
61,.0179394,.495924,.454795,.391566,9.640000000000001,.0013649,.5079365,31.69089,0,0,0,34.9995,226.4493,309.7574,202.9866,293.0403,186.846,240.67,424.63,294.63,276,.1288344,.0794323,.016991699
63,.0703023,.142794,.519003,.40096,10.09,.0023205,5.426175,40.89529,0,1,1,38.223,301.6998,445.9651,235.2634,337.4126,348.4926,551.96,522.3200000000001,368.77,322.55,.0825388,.0972633,.073959
65,.0603418,.311758,.140317,.38914,8.210000000000001,.0006569,1.156126,26.38083,0,0,0,51.6932,302.3293,477.289,192.8864,289.1845,203.9307,296.39,516.89,328.55,284.49,.1216696,.0816832,.048133101
67,.0475793,.222561,.276769,.519411,8.539999999999999,.0020049,6.28398,42.60989,0,1,1,25.6546,191.4752,349.6504,171.7926,249.7502,199.6477,239.01,407.8,344.35,276.6,.218794,.0813422,.051855601
69,.0123078,.386301,.929078,.381679,8.6,.0011128,.6639676,27.38272,0,1,0,42.3224,317.7535,474.1483,245.4301,417.7175,311.38,484.34,512.91,337.24,349.25,.0641399,.0866098,.012961
71,.0571815,.219947,.274481,.528998,9.16,.0019111,4.817927,28.14489,0,1,0,13.315,250.4188,516.099,224.3537,315.856,264.2565,316.65,503.51,314.95,295.29,.0818411,.0818151,.058578201
77,.0398521,.206371,.681208,.512315,6.82,.0024011,.6872659,33.05056,0,1,0,45.4513,219.7802,256.4102,210.0034,270.4327,165.5396,302.58,510.66,326.79,277.88,.177814,.089236,.0352097
79,.0118946,.316327,.919355,.508772,6.09,.001153,.6203008,34.78369,0,0,0,45.4675,200.6689,274.7253,151.4234,256.4102,204.3269,189.16,362.35,330.86,307.66,.0949721,.0853098,.0115195
81,.0527319,.30938,.231522,.501219,10.64,.0022705,5.023041,47.62537,0,1,1,26.3941,345.2739,460.0884,286.5485,377.9385,288.9627,388.63,548.79,377.97,294.39,.1094184,.0882898,.048507001
83,.0289042,.398487,.568038,.417827,8.83,.0016038,.7734807,33.52496,0,0,0,50.5625,242.7491,435.8465,183.9465,282.6691,175.1182,316.41,440.61,317.05,272.35,.106769,.0806518,.0268714
85,.0372284,.203632,.4862,.393013,7.79,.0014164,1.049917,24.51749,0,0,0,25.6287,201.858,406.068,185.1409,270.1844,225.5934,282.62,413.49,347.35,274.9,.150174,.109063,.0354902
87,.0302089,.284615,.36855,.4,9.06,.0014999,.863063,29.33097,1,0,0,2.69921,264.093,381.981,184.3148,273.2522,212.9792,526.8,454.69,310.26,261.64,.1206897,.0805624,.0299963
89,.0268714,.287106,.483034,.392562,6.35,.0012165,1.770054,28.85487,1,0,0,4.31205,265.1208,468.1894,205.4814,279.9882,219.0061,395.1,484.28,268.47,273.23,.0685854,.0711765,.022288101
91,.0265877,.281201,.55618,.505051,10.04,.0014281,.6713483,27.81343,0,0,0,56.8085,265.252,384.6154,173.5391,237.4169,246.313,276.26,414.98,291.03,264.93,.1405405,.0921553,.0292986
93,.0313736,.308782,.513761,.464286,5.29,.0013776,.5780051,24.93946,0,0,0,58.0827,161.216,206.044,157.1386,222.9654,164.283,240.03,426.52,352.66,258.48,.180602,.0901013,.033659499
97,.035918,.270653,.679335,.382867,6.46,.0015471,1.522648,23.34746,0,1,0,18.4012,272.8306,380.8073,212.7055,311.5188,240.7577,299.04,455.85,301.6,303.64,.085485,.0797813,.0345321
99,.0132968,.115152,.17895,.323529,5.45,.0015714,.5498980999999999,33.76451,1,0,0,14.2846,232.8569,403.4427,151.2232,278.5146,223.8444,249.41,425.56,354.15,247.12,.0185185,.1341441,.0150138
101,.0315835,.159032,.682065,.513944,6.3,.0013649,.9672956,30.86513,0,0,0,20.9479,209.1238,349.6504,197.0282,271.0377,199.0399,286.11,437.51,308.15,273.54,.0643974,.0784658,.0300807
105,.0445928,.268571,.493617,.49569,6.91,.0018347,1.567568,34.21838,0,1,0,23.5498,270.7316,381.6223,218.4174,291.7556,243.5438,327.46,443.68,224.4,299.95,.1225144,.0791262,.0354481
107,.0451353,.295413,.275776,.495495,6.81,.0016232,1.504975,28.94897,0,0,0,39.0478,257.4442,331.565,189.1611,318.89,230.0151,338.74,476.2,291.24,295.24,.1283644,.0785185,.0479757
109,.0199467,.244344,.518519,.446429,13.45,.0010831,1.533557,26.42612,0,1,0,9.685639999999999,236.3299,300.6012,213.143,316.2106,220.0021,283.77,428.91,337.29,279.22,.2093023,.0836018,.019314099
111,.0144764,.356725,.568306,.346154,6.52,.0009594,.8306635999999999,24.46247,1,0,0,5.52725,215.9763,541.8193,176.0974,278.2324,224.9428,224.77,365.66,311.63,278.78,.0448065,.0711781,.012742
113,.0115498,.501901,.19697,.153846,4.69,.001537,.4468085,55.25554,1,0,0,2.39865,259.8753,369.2308,157.0513,198.4127,247.881,246.44,322.69,297.46,202.49,.206422,.0927476,.0111992
115,.0047949,.888889,.1625,.461538,7,.0165157,.3813747,30.33987,1,0,0,1.28365,182.2524,460.0663,194.549,294.7782,201.4652,437.69,426.78,304.59,254.57,.5,.0771637,.00188147
117,.0177404,.307368,.924658,.42963,9.9,.0005229,.5791757,49.81863,0,0,0,45.4255,232.818,332.3837,166.1645,274.7253,204.7535,300.57,384.94,290.19,283.43,.0969977,.0782115,.0188914
119,.0874663,.151541,.320506,.505138,6.41,.0018105,8.395833,51.41667,0,1,1,28.546,347.6481,509.5136,328.2206,442.7392,314.8165,430.09,560.88,290.48,335.73,.1507814,.0853628,.086892903
123,.0321128,.431193,.24924,.426829,6.16,.0017677,.4857143,39.08851,0,1,0,25.9602,285.5613,373.9316,187.3375,254.7122,232.0955,258.3,332.48,290.16,271.02,.2759197,.0834453,.030204101
125,.0230652,.350532,.448598,.421875,9.050000000000001,.001889,.7831669,32.02308,0,1,0,22.5819,228.8868,404.1493,172.8721,250.1112,286.1283,269.41,440.95,327.37,272.42,.081488,.0777309,.024055099
127,.0258142,.15545,.1689,.418773,9.76,.0012234,1.312963,28.12119,0,0,0,34.2799,250.6091,362.8986,252.2031,381.2758,258.6901,298.96,492.38,301.97,293.67,.0560561,.0781521,.0448501
129,.070914,.224474,.395055,.452693,7.7,.0024624,6.07027,69.40868,0,0,1,23.0441,270.7781,396.9059,209.2001,305.059,255.3557,397.71,535.23,356.92,290.48,.0638561,.0842557,.066100299
131,.0144598,.777778,.423645,.476744,7.45,.0009972,.4163569,33.90083,0,0,0,61.9421,211.7149,320.5128,193.7757,280.4487,174.4647,233.67,380.36,326.04,241.05,.1809955,.0900933,.0137993
133,.0517775,.239668,.241749,.334471,8.710000000000001,.001546,1.608126,22.58288,0,0,0,26.3814,235.8491,308.793,181.2296,233.6667,197.7114,241.89,315.65,290.75,257.38,.1477531,.254405,.0381837
135,.0517818,.106241,.441704,.385787,8.210000000000001,.0023066,2.065,29.15432,0,1,0,19.5263,271.8334,376.3106,162.2506,340.2661,272.4596,372.98,514.29,437.55,281.99,.0429814,.1373685,.0524006
137,.0108666,.271186,.59375,.421053,4.22,.0005525,.3225806,34.96,0,0,0,33.0448,284.9003,329.6703,150.8925,147.929,265.9575,145.9,336.29,255.84,277.11,.0442478,.0742574,.0106549
139,.0362156,.408571,.354312,.493421,7.72,.0013107,1.289474,27.62038,0,0,0,38.0613,263.9517,400.1032,192.8651,287.8618,227.3517,236.4,454.11,274.52,240.25,.2396694,.10175,.029593799
141,.0609911,.208333,.122,.270492,7.01,.0355781,.2788571,29.11382,0,0,0,39.8515,198.5112,345.7217,185.8188,228.6175,196.0161,212.23,372.85,317.39,253.57,.0434783,.0809816,.0847914
143,.0174132,.468208,.37037,.4,9.119999999999999,.0009059,.4186992,21.19813,0,0,0,38.6359,240.3846,349.6504,174.216,234.5216,123.5004,172.75,365.58,312.82,230.28,.5043478,.0709927,.0230636
145,.0271005,.381885,.423077,.484848,7.27,.00136,.7613065,35.82109,0,1,0,32.9516,258.4372,493.624,186.144,262.8666,201.2839,303.67,423.04,252.77,291.22,.2765625,.077668,.0232703
147,.0525701,.191107,.423693,.508816,5.9,.0021873,1.459665,32.27996,0,0,0,35.6411,264.9244,353.0032,199.1874,312.3173,255.2561,345.29,522.72,424.3,301.37,.0792428,.1167678,.050871301
149,.0136124,.248555,.651163,.392857,12.18,.0015737,.605042,26.60532,1,0,0,10.0046,222.5048,368.2488,171.455,266.5651,186.9123,261.07,404.81,285.31,268.83,.0484849,.0651693,.0137135
151,.0255308,.250408,.491028,.481728,6.78,.0012724,1.234474,21.09936,0,1,0,6.97606,308.144,372.7608,200.0629,298.1774,251.727,271.33,451.23,254.39,274.51,.1102041,.082165,.0215881
153,.0282947,.319907,.670702,.436823,9.390000000000001,.0013588,.9685535,27.72656,0,1,0,28.5284,221.199,330.852,179.3445,252.7756,224.6247,303.36,449.78,310.3,268.14,.1516503,.0779838,.030115901
155,.0311808,.413175,.548126,.403485,6.7,.0014767,1.118019,32.55385,0,0,0,61.4497,219.5752,371.0685,186.3991,310.0581,243.4125,246.62,421.09,331.19,282.83,.1166102,.0844781,.028456699
157,.0274601,.307824,.670833,.501035,6.84,.0019489,1.502636,31.30051,0,1,0,21.6036,261.0227,368.6036,185.7407,286.3465,216.4917,348.45,439.07,272.41,294.85,.102262,.0805256,.0266499
159,.031777,.230261,.548644,.465116,8.550000000000001,.0018555,1.996146,21.34924,0,1,0,16.9913,295.6549,426.9269,237.919,286.9023,237.5672,329.28,486.7,306.07,304.54,.0720472,.0803248,.0287943
161,.0198354,.331541,.5702700000000001,.454976,6.08,.0012619,1.003521,27.42254,1,0,0,13.0366,237.9064,364.2058,191.6003,260.7042,218.5552,290.25,434.11,244.87,272.77,.0909091,.07643,.0171226
163,.0203012,.311828,.53605,.391813,8.27,.0012899,.532207,30.99583,0,0,0,36.3495,185.8436,407.4921,186.5941,242.2196,229.8568,257.05,404,301.06,265.54,.0871413,.0766543,.0191925
165,.0440056,.338144,.428862,.440758,6.38,.0016937,1.053292,33.27475,0,0,0,42.4256,257.5549,429.9562,187.1451,283.0189,251.5067,340.18,420.19,338.17,261.24,.0475162,.0839384,.0408157
167,.021896,.420569,.347162,.427673,7.55,.0015482,1.267677,28.31809,0,1,0,12.5791,290.7829,370.8791,215.9003,278.9956,235.0176,304.5,442.48,286.02,269.77,.0792864,.079819,.0181909
169,.0092151,.377709,.819672,.42,10.39,.0007703,.7831858,32.22691,0,1,0,7.67092,354.6099,529.6609999999999,184.4418,303.6437,193.9703,280.56,381.72,303.2,282.85,.0912162,.0861124,.010994
171,.0235205,.109944,.14734,.536797,10.44,.0014,1.12987,27.83577,1,0,0,5.64349,325.3195,351.4938,210.1768,302.5065,232.7767,257.61,441.14,292.82,266.76,.0530973,.0798949,.0213532
173,.0047703,.289474,.636364,.571429,12.24,.0035149,.2034221,28.9306,1,0,0,25.3914,169.6833,174.8252,161.9242,250.8361,186.2078,193.28,368.03,335.98,215.44,.027027,.0766049,.010373
175,.0189785,.308668,.363014,.415094,6.22,.0016049,.6772487,40.80094,1,0,0,6.03408,230.4341,442.5262,153.1654,273.7226,219.106,576.33,322.11,313.53,237.82,.1077283,.0889608,.0242597
179,.0277412,.354207,.383978,.352518,8.98,.0014929,1.223787,35.31148,0,1,0,17.8858,281.381,312.6681,220.4755,304.6896,240.9706,311.82,440.2,344.84,332.14,.1483146,.0888013,.025694599
181,.0470632,.206877,.482289,.446328,6.82,.0016183,1.538153,24.14048,0,1,0,44.6283,202.6893,335.2152,255.1234,283.2439,205.0495,262.5,444.74,277.9,253.22,.1004963,.0828185,.0534929
185,.0078125,.25,.37,.459459,6.58,.0136719,.3840749,32.34632,0,1,0,64.34820000000001,183.1502,302.1978,155.3254,247.2527,190.4037,221.28,382.19,320.79,256.44,3,.0753613,.047203202
187,.0254524,.263006,.14395,.290076,12.72,.0012506,.439759,37.27805,0,0,0,44.2132,224.7752,334.4482,158.4284,266.2722,191.3008,215.4,385.07,307.97,241.38,.2627737,.0836146,.0151844
189,.0271844,.153261,.390071,.4,8.31,.0019502,1.089172,29.19147,1,0,0,1.9832,215.0645,289.5753,165.819,281.6221,218.1758,251.01,406.16,407.5,247.37,.036036,.1545936,.024611
191,.0345692,.253968,.391509,.475904,8.529999999999999,.0012113,1.783394,23.63343,0,0,0,34.4283,287.1144,363.7343,213.2225,291.8956,212.8885,276.29,333.61,327.01,293.95,.0805825,.0939839,.024591399
193,.0180945,.356682,.576227,.38565,7.93,.0010006,.8085107,24.77798,1,0,0,5.93109,257.2078,398.3154,256.9071,361.1236,279.1209,263.98,436.96,287.89,291.84,.0742574,.0812092,.0330351
195,.0236432,.24697,.15644,.478431,12.49,.0042988,1.721925,36.02775,0,0,0,37.4311,279.4814,340.6775,216.4476,365.8724,278.1635,362.04,459.44,283.4,309.1,.2716763,.0831767,.017173501
197,.0130857,.180556,.830769,.333333,5.96,.0010541,.875,24.12361,1,0,0,5.46081,253.0364,283.4008,171.6738,271.7391,207.2574,279.17,357.84,354.78,275.01,.0810811,.0772219,.0551157
,,,,,,,,,,,,,,,,,,,,,,,,.0136619
